epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28327.9,2.71038,1.28657,0.88192,0.36888,0.13091,0.10211,0.04313,2.74163,1.25124,0.85081,0.0011882,0.0011882,0.0011882
43,29162,2.72474,1.28005,0.88021,0.37653,0.13146,0.10285,0.04248,2.73437,1.26578,0.84469,0.0011684,0.0011684,0.0011684
44,30000.1,2.75945,1.29417,0.8777,0.37776,0.13416,0.10435,0.04395,2.73418,1.23528,0.84392,0.0011486,0.0011486,0.0011486
45,30874.4,2.71483,1.25999,0.87569,0.37387,0.13244,0.10362,0.04383,2.71515,1.25143,0.84672,0.0011288,0.0011288,0.0011288
46,31783.2,2.72834,1.2775,0.87567,0.37893,0.13372,0.10496,0.04422,2.73213,1.2235,0.84733,0.001109,0.001109,0.001109
47,32696.4,2.73366,1.33546,0.87656,0.37544,0.13223,0.10376,0.04381,2.71551,1.24354,0.84798,0.0010892,0.0010892,0.0010892
48,33612,2.71138,1.2715,0.8751,0.37514,0.1351,0.10448,0.04415,2.73887,1.23302,0.84524,0.0010694,0.0010694,0.0010694
49,34653.6,2.71718,1.27304,0.87174,0.38536,0.13563,0.10558,0.04416,2.72419,1.21495,0.8429,0.0010496,0.0010496,0.0010496
50,35818.4,2.72173,1.26004,0.86927,0.37884,0.13474,0.10512,0.04523,2.71525,1.23313,0.84405,0.0010298,0.0010298,0.0010298
51,37012.1,2.68462,1.26423,0.8786,0.38272,0.1348,0.10514,0.04483,2.70508,1.21659,0.84554,0.00101,0.00101,0.00101
52,38224.7,2.70923,1.25253,0.87215,0.37807,0.13533,0.10483,0.04409,2.71584,1.2269,0.84211,0.0009902,0.0009902,0.0009902
53,39300.2,2.69751,1.26131,0.8691,0.38468,0.13473,0.10505,0.04414,2.71851,1.22969,0.84383,0.0009704,0.0009704,0.0009704
54,40198.5,2.68775,1.25676,0.87492,0.38668,0.13545,0.10525,0.04512,2.70045,1.22113,0.84258,0.0009506,0.0009506,0.0009506
55,41117.6,2.71046,1.25481,0.86917,0.38473,0.13658,0.10636,0.04549,2.71489,1.2075,0.84373,0.0009308,0.0009308,0.0009308
56,42082.1,2.71667,1.27075,0.87009,0.38764,0.1345,0.10543,0.04398,2.72031,1.22663,0.84574,0.000911,0.000911,0.000911
57,43104.4,2.68286,1.26553,0.86636,0.39134,0.13683,0.107,0.04614,2.69545,1.20451,0.84265,0.0008912,0.0008912,0.0008912
58,44234.6,2.70835,1.24848,0.8645,0.38668,0.13708,0.10662,0.04593,2.70304,1.19434,0.84277,0.0008714,0.0008714,0.0008714
59,45307.6,2.6765,1.23915,0.87247,0.3914,0.13751,0.1093,0.0462,2.69812,1.20959,0.83969,0.0008516,0.0008516,0.0008516
60,46287.2,2.67803,1.34572,0.8706,0.3884,0.1369,0.10673,0.04637,2.68772,1.21756,0.84015,0.0008318,0.0008318,0.0008318
61,47379.9,2.68686,1.24167,0.86792,0.38643,0.13729,0.10844,0.04593,2.68494,1.20793,0.83971,0.000812,0.000812,0.000812
62,48474.8,2.68215,1.24097,0.86769,0.3904,0.13703,0.10939,0.04665,2.68578,1.19747,0.84148,0.0007922,0.0007922,0.0007922
63,49582.3,2.68219,1.24186,0.86584,0.39097,0.13752,0.10901,0.04618,2.67471,1.21298,0.83983,0.0007724,0.0007724,0.0007724
64,50662.4,2.66829,1.24549,0.86891,0.39366,0.13683,0.10706,0.04551,2.70596,1.20301,0.84016,0.0007526,0.0007526,0.0007526
65,51842.2,2.68656,1.28374,0.86543,0.39407,0.1385,0.1103,0.04714,2.679,1.20249,0.84101,0.0007328,0.0007328,0.0007328
66,53016.8,2.6723,1.23715,0.87049,0.39415,0.13786,0.10996,0.04674,2.68107,1.20361,0.83963,0.000713,0.000713,0.000713
67,54193.1,2.66306,1.22877,0.86745,0.39178,0.13804,0.11007,0.04658,2.67698,1.20699,0.83879,0.0006932,0.0006932,0.0006932
68,55402.3,2.68285,1.24383,0.8643,0.39255,0.13813,0.10977,0.04683,2.6774,1.19793,0.83944,0.0006734,0.0006734,0.0006734
69,57824.1,2.6542,1.22192,0.8645,0.39254,0.13766,0.1101,0.04715,2.66906,1.22047,0.84023,0.0006536,0.0006536,0.0006536
70,59161.8,2.65138,1.22531,0.86488,0.39586,0.13875,0.11106,0.04776,2.66293,1.20761,0.83822,0.0006338,0.0006338,0.0006338
71,60179.8,2.64735,1.22937,0.86392,0.39791,0.13856,0.11118,0.04787,2.67215,1.20021,0.83758,0.000614,0.000614,0.000614
